"","country","population","surface_area","population_density","gross_national_income_atlas_method","gross_national_income_per_capita_atlas_method","purchasing_power_parity_gross_national_income","PPP Income per cap","gross_domestic_product"," GDP growth per cap "," Share of Income (<20%)"," Child malnutrition (%)","maternal_mortality_ratio","under_five_mortality_rate"," HIV (per 1000)"," Tuberculosis (per 100k)"," Road Mortality (per 100k)","primary_completion_rate"," Male employment (%)"," Female employment (%)","labor_productivity"," Pop. Access Water (%)"," Pop. Access Sanitary (%)","access_to_electricity","renewable_energy_consumption","expenditures_for_r_d"," Slums Pop.(%)","ambient_pm2_5_air_pollution"," Savings (% of GNI)"," CO2 per cap."," Marine areas (%)","intentional_homicides","internet_use","region_code","region_name","sub_region_code","sub_region_name","iso_alpha3_code"," Developped"
"1","Afghanistan",38,652.9,57,20.7,540,88.6,2330,2.9,0.5,4.94953452464031,38.2,638,60,0.08,189,15,86,12.1,67.8,-1.9,36.2764022725951,-23.6615687621638,97.7,18.4,-0.400176605466123,62.7,56.3,10.1,0.3,0.1,9.8,11.4,142,"Asia",34,"Southern Asia","AFG","Developing"
"2","Albania",2.9,28.8,105,14.9,5240,40.9,14350,2.2,2.7,7.5,11.3,15,10,0.05,18,14,102,20.8,37.8,1.1,70,39.9,100,38.6,0.808304982251727,-6.20894107735243,18.2,-0.7,1.9,13.5,2.2,71.8,150,"Europe",39,"Southern Europe","ALB","Developed"
"3","Algeria",43.1,2381.7,18,170.7,3970,496.3,11530,0.8,-1.1,9.4,11.7,112,23,0.09,69,24,105,1.8,2.4,1,73.0430551841596,17.7,100,0.1,0.5,40.5137439337711,39.9,21.2,3.7,7.1,1.4,47.7,2,"Africa",15,"Northern Africa","DZA","Developing"
"4","American Samoa",0.1,0.2,277,-1729.54496357193,-27433.0527278025,-1124.05467030332,-20412.4803916181,2.2,2.5,7.25765720296147,10.4046778362924,550.075285976448,57.3765263009436,-0.895743965785435,0,20.7374549838171,70.1023104526722,19.9354797871283,28.6599836563642,3.73429767986814,12.6,-51.4967385550949,71.4537300325667,0.9,-1.21908964586649,78.6585845184796,12.4,17.8117493194106,2.16154595128408,8.7,7.2,31.6894049808951,9,"Oceania",61,"Polynesia","ASM","Developing"
"5","Andorra",0.1,0.5,164,-4093.32737137331,40348.4054242472,-4603.28742026844,44997.8272100049,1.8,1.7,10.9077606149509,3.74839354832715,-47.8125939836956,3,1.0599489286216,3,8,98.6775790390024,3.34191654100813,8.49782965565952,1.24032133413747,90.6,100,100,19.7,1.78574557453271,21.9073030063985,10.3,1.18176080298007,5.8,26.7,0,91.6,150,"Europe",39,"Southern Europe","AND","Developed"
"6","Angola",31.8,1246.7,25,97,3050,203.2,6390,-0.9,-4,3.8,37.6,241,75,1.45,355,24,74.843755574045,7.8,10.3,-5.2,38.1850339981785,65.7249122039064,42,49.6,0,55.5,31.8,-27.4,1.7,5,4.8,14.3,2,"Africa",202,"Sub-Saharan Africa","AGO","Developing"
"7","Antigua and Barbuda",0.1,0.4,219,1.6,16660,2.1,21500,4.7,3.8,6.18884614058951,15.7640532101338,42,7,0.302911829569897,6,8,96,-1.83482627952903,3.80536824160869,1.25800602223392,93.4580365724408,49.3697801288694,100,0,2.19954451238149,13.5431419125274,18.5,33.5259286223243,5.7,0.3,11.1,73,19,"Americas",419,"Latin America and the Caribbean","ATG","Developing"
"8","Argentina",44.9,2780.4,16,503.1,11200,991.4,22060,-2.2,-3.1,5,7.9,39,9,0.24,27,14,100,0.4,0.8,-2.1,81.5430042858854,40.2154518009387,100,10,0.6,16.7,13.8,4.5,4.6,7.4,6.6,74.3,19,"Americas",419,"Latin America and the Caribbean","ARG","Developing"
"9","Armenia",3,29.7,104,13.8,4680,42.8,14460,7.6,7.4,8.1,9.4,26,12,0.1,31,17,90,1.3,3.3,4.7,86.5,48.2,100,15.8,0.3,14.4,32.2,0.6,1.9,23.1,2.6,64.7,142,"Asia",145,"Western Asia","ARM","Developing"
"10","Aruba",0.1,0.2,588,2.8,26810,3.8,36300,2,1.5,4.84288342753608,0.690883339592506,-320.785981807803,-16.2913738295253,0.331665214352611,5,11.6415974235122,92.3226524952906,-6.13197203635014,-25.1267285363042,-1.32189961780749,122.568433603401,157.134710172902,100,6.7,1.76979361509719,2.36995261847787,-14.4578260095682,3.86202717705326,8.4,0.1,1.9,97.2,19,"Americas",419,"Latin America and the Caribbean","ABW","Developing"
"11","Australia",25.4,7741.2,3,1392.8,54910,1307.7,51560,1.9,0.4,7.4,-12.1720006106488,6,4,0.06,7,6,88.1941103923533,0.2,0.2,0.7,96.5273758175023,75.6,100,9.2,1.9,0.322594937396076,8.6,6.1,15.4,29.7,1,86.5,9,"Oceania",53,"Australia and New Zealand","AUS","Developed"
"12","Austria",8.9,83.9,107,455.4,51300,524.3,59060,1.6,1.2,8,1.70753404131636,5,4,1.26352280667514,7,5,100,1.2,1.3,1,98.9,96.7,100,34.4,3,-10.3663959422042,12.6,13.4,6.9,28.4,0.5,87.9,150,"Europe",155,"Western Europe","AUT","Developed"
"13","Azerbaijan",10,86.6,120,44.9,4480,143.9,14360,2.2,1.4,5.46854135520759,17.8,26,20,0.09,63,9,100,25,43.3,-2,73.6,16.5970536224109,100,2.3,0.2,12.8068742101882,20.2,8.9,3.9,5.5,2.3,79,142,"Asia",145,"Western Asia","AZE","Developing"
"14","Bahamas, The",0.4,13.9,39,12.4,31780,13.9,35760,1.8,0.8,6.67121585536002,-0.469161738425768,70,13,-1.4446405313138,14,14,76,0.3,0.3,-1.7,53.0356686849578,30.5529782315692,100,1.2,0.59849828405312,33.6798095717852,17.7,3.4,6.3,8.6,39,85,NA,NA,NA,NA,NA,NA
"15","Bahrain",1.6,0.8,2017,36.3,22110,72.4,44140,1.8,-2.6,8.51691248573345,26.7776087391172,14,7,1.13122808016751,11,8,98,0.4,0.6,-3,99,96,100,0,0.1,32.0497641147927,69.9,20.4,23.5,1.7,0.5,95.9,142,"Asia",145,"Western Asia","BHR","Developing"
"16","Bangladesh",163,147.6,1240,316.2,1940,845.4,5190,8.2,7,8.6,30.8,173,31,-0.128804487657616,221,15,112.857151761597,4,29.1,4,55.4,52.8783745151738,88,34.7,0.185617084060035,55.1,60.1,24.5,0.5,4.9,2.6,12.9,142,"Asia",34,"Southern Asia","BGD","Developing"
"17","Barbados",0.3,0.4,667,5,17380,4.5,15730,-0.1,-0.2,7.11479454795393,7.7,27,13,0.34,0,6,89,0.1,0.1,-0.6,70.7215751358948,45.8291910648235,100,2.8,1.31870570449913,27.3023135320839,23.5,-0.6,4.4,0,10.9,81.8,19,"Americas",419,"Latin America and the Caribbean","BRB","Developing"
"18","Belarus",9.5,207.6,47,59.5,6280,183.1,19340,1.2,1.4,10.1,13.8294816253457,2,3,0.39,31,9,105,0,0,0.7,94.5,80.5,100,6.8,0.5,45.2,18.9,14.5,6.6,9.4,3.5,74.4,150,"Europe",151,"Eastern Europe","BLR","Developed"
"19","Belgium",11.5,30.5,377,543.7,47350,628.5,54730,1.4,0.9,8.7,2.91821157349217,5,3,0.21986587359687,9,6,93.1587397507687,0.5,1.3,0.1,99.5,97.1,100,9.2,2.5,1.32071845946511,12.8,12.1,8.3,24.6,2,87.7,150,"Europe",155,"Western Europe","BEL","Developed"
"20","Belize",0.4,23,17,1.7,4450,2.6,6630,0.3,-1.6,4.05527508589733,15,36,12,0.887566025221997,30,28,104,2.8,4,-2.4,80.493871679858,44.560565271339,98.3,35,0.489869884798642,10.8,23.1,-2.1,1.4,20.6,33,47.1,19,"Americas",419,"Latin America and the Caribbean","BLZ","Developing"
"21","Benin",11.8,114.8,102,14.8,1250,40,3390,6.9,4,3.2,32.2,397,90,0.52,56,28,64,11.7,19.6,1.9,33.1361087309212,95.9676623823324,34.5,50.9,1.90324915488054,61.5,38.4,0.9,0.5,23.5,1.1,14.1,2,"Africa",202,"Sub-Saharan Africa","BEN","Developing"
"22","Bermuda",0.1,4.3,1184,-2970.84503809547,34209.9971396363,-4062.93724337434,52423.2306429143,1.27955143636261,1.3063678285564,9.49278228533471,-5.25995471383936,88.5605715232517,13.1149537190144,-1.03133605078946,4,20.1586358047974,92,-0.400032891054774,-11.302824616667,4.62609816975725,79.6866892781596,69.7578527717246,100,2.4,0.2,17.756184682525,11.7,3.96977336960946,10,0,6.5,98.4,19,"Americas",21,"Northern America","BMU","Developed"
"23","Bhutan",0.8,38.4,20,2.2,2970,8,10570,3,1.8,6.7,28.0346412020093,183,29,1.01393710471163,149,17,100,22.9,48.1,2.9,36.2,14.9865048285331,97.7,86.9,0.699139292482827,17.7239491036696,37.2,23.6,1.4,48,1.6,41.8,142,"Asia",34,"Southern Asia","BTN","Developing"
"24","Bolivia",11.5,1098.6,10,40.6,3530,102.6,8910,2.2,0.8,4.6,16.1,155,26,0.14,108,16,95,9.2,30.7,-0.2,53.2796500208237,22.9,91.8,17.5,-0.13181807122214,43.5,21.4,0.8,1.9,30.9,6.2,43.8,NA,NA,NA,NA,NA,NA
"25","Bosnia and Herzegovina",3.3,51.2,65,20.3,6150,52,15770,2.6,3.3,7.5,8.9,10,6,-2.22585733136447,25,16,93.3731166536747,1.9,6.7,0,88.8,21.6,100,40.8,0.2,7.6,27.6,29.885256288012,5.6,1.4,1.7,64.9,150,"Europe",39,"Southern Europe","BIH","Developed"
"26","Botswana",2.3,581.7,4,17.6,7660,39.4,17110,3,0.8,3.9,12.23016747666,144,42,8.23,275,24,56.9524492814838,3.5,4.7,1.3,96.6282825977966,7.47431971856405,62.6,28.9,0.5,75.1406284620236,23.6,23.4,3.3,29.1,35.6075668890658,41.4,2,"Africa",202,"Sub-Saharan Africa","BWA","Developing"
"27","Brazil",211,8515.8,25,1926.3,9130,3135,14850,1.1,0.4,3.1,19.329551820953,60,14,-0.380307437175921,45,20,105.819383677221,1.5,3.4,-0.1,52.0573311658085,49.3,100,43.8,1.3,22.3,12.7,5.4,2.6,28.6,28.6,67.5,19,"Americas",419,"Latin America and the Caribbean","BRA","Developing"
"28","Brunei Darussalam",0.4,5.8,81,14,32230,28.8,66410,3.9,2.8,6.38897392202683,13.200335996859,31,11,-1.27029983419641,68,8,108,0.4,0.3,-1.1,112.849866832387,106.772108059244,100,0,0.3,17.4704302245073,5.9,35.6,22.1,9,0.5,94.9,142,"Asia",35,"South-eastern Asia","BRN","Developing"
"29","Bulgaria",7,111,65,65.6,9410,166.6,23880,3.4,4.1,5.7,7,10,7,0.08,22,10,87,0.5,1,2.1,96.9,64.4,100,17.7,1,9.74795318314683,19.3,12.2,5.9,28.3,1.8,63.4,150,"Europe",151,"Eastern Europe","BGR","Developed"
"30","Burkina Faso",20.3,274.2,72,16.1,790,45.1,2220,5.7,2.7,8.3,24.9,320,88,0.19,48,31,65,30.7,52.5,2.8,1.98994774517504,74.1910902400172,17.5,74.2,0.7,65.8,41.5,-6.7,0.2,14.9,0.6,15.9,2,"Africa",202,"Sub-Saharan Africa","BFA","Developing"
"31","Burundi",11.5,27.8,435,3.2,280,9,780,1.8,-1.3,6.9,54.2,548,57,0.2,111,35,63,23.9,35.4,-3,17.1405591642391,49.563524003968,9.3,95.7,0.2,57.9,38.7,-19.7,0,7.6,4.5,2.7,2,"Africa",202,"Sub-Saharan Africa","BDI","Developing"
"32","Cabo Verde",0.5,4,135,2,3630,4,7310,5.7,4.5,5.7,25.6242988191012,58,15,0.29,46,25,87,5.8,16.4,2.4,72.7096383972145,66.1570249012457,91.4,26.6,2.28907870645557,11.6549141713509,33.4,15.1,0.9,0,8.8,57.2,2,"Africa",202,"Sub-Saharan Africa","CPV","Developing"
"33","Cambodia",16.5,181,92,24.4,1480,68.9,4180,7.1,5.5,7.02095965724037,32.4,160,27,0.08,302,18,88,4.4,5.1,4.5,25.8,41.685212696159,89.1,64.9,0.1,55.1,25.2,9,0.4,20.6,22.6026099001497,32.9,142,"Asia",35,"South-eastern Asia","KHM","Developing"
"34","Cameroon",25.9,475.4,53,38.9,1500,96.5,3730,4,1.4,4.5,28.9,529,75,1.1,186,30,64,8.4,20.3,1,39.2358658715269,44.8097670970171,61.3,76.5,0.990685978946658,37.8,73.2,1.4,0.3,10.4,1.2,23.2,2,"Africa",202,"Sub-Saharan Africa","CMR","Developing"
"35","Canada",37.6,9984.7,4,1742.8,46370,1910,50810,1.7,0.2,7.1,-1.12733091524438,10,5,-0.243466079233094,6,6,89.0787509793505,0.1,0.2,0.5,98.9,82.3,100,22,1.7,0,6.5,6.7,15.3,6.5,1.7,92.7,19,"Americas",21,"Northern America","CAN","Developed"
"36","Cayman Islands",0.1,0.3,267,3,47140,2.6,41640,3.3,2,7.72473294413382,8.480161831554,-371.240694052745,-26.6586636679133,2.48713229214108,5,0.228421055172731,90,7.22448402556989,8.34515616801978,2.83373296701748,104.462507234541,89.0986463237449,100,0,3.04749988033998,5.49021105810341,-15.8771840657716,32.4650502482331,9,0.1,8.2,81.1,19,"Americas",419,"Latin America and the Caribbean","CYM","Developing"
"37","Central African Republic",4.7,623,7,2.4,520,5,1060,3,1.3,3.3,40.8,829,110,2,540,34,41,28.2,47.6,2.7,-47.9047994112642,-68.7792637213695,29.8,76.6,-0.677255851847722,93.3,57,-4.65479570600478,0.1,18.1,20.1,4.3,2,"Africa",202,"Sub-Saharan Africa","CAF","Developing"
"38","Chad",15.9,1284,12,11.2,700,25.8,1620,3.2,0.2,4.9,39.8,1140,114,0.5,142,28,41,13.4,44.3,-5.8,8.31176765653488,4.25032280267147,10.9,89.4,0.3,88.2,64.8,-4.18139170831391,0.1,20.4,4.23945406970615,6.5,2,"Africa",202,"Sub-Saharan Africa","TCD","Developing"
"39","Channel Islands",0.2,0.2,861,982.579895145689,54968.5977199218,874.506030731249,65638.9855908115,3.84141664851016,2.32964311166297,7.00451485862272,12.6139390430101,78.7311934650512,17.8683540323047,3.69656284643431,209.473229081972,7.61862714047193,88.0067545772122,0.5,1.5,1.85772081927099,92,90,93.9487474492176,14.934837496547,2.10837451344669,30.1733397201638,31.1079315702617,14.6381827363767,21.7557724012567,42.0202774458662,6.40358306721152,96.8886501705814,NA,NA,NA,NA,NA,NA
"40","Chile",19,756.7,25,284.5,15010,457.6,24140,1.1,-0.1,5.8,1.8,13,7,0.46,18,13,96,0.7,1.7,0.6,98.6,77.5,100,24.9,0.4,9,20.9,2.1,4.5,27,3.4,82.3,19,"Americas",419,"Latin America and the Caribbean","CHL","Developing"
"41","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,3.357492765207,61,18,109.028484415095,7.8,21.1,6.6,54.810728108544,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","CHN","Developing"
"42","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,5.67349515894771,61,18,117.935934031836,7.8,21.1,6.6,84.725087453507,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","HK",""
"43","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,2.51343388530439,61,18,113.215815651758,7.8,21.1,6.6,42.7760592843748,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","MO",""
"44","Colombia",50.3,1141.7,45,327.7,6510,762.4,15150,3.3,1.9,4,12.7,83,14,0.4,33,19,107,2,5.7,0.7,73.2,17,98.5,23.6,0.3,13.1,16.6,0.1,1.8,15.7,26.9,62.3,19,"Americas",419,"Latin America and the Caribbean","COL","Developing"
"45","Comoros",0.9,1.9,447,1.2,1420,2.7,3220,2.7,0.5,4.5,31.1,273,63,0.01,35,27,77,9.5,17.6,0.5,39.7216659543735,38.4236197681909,79.4,45.3,-0.368782573811251,69.6,20.5,2.2,0.2,0.1,45.5700516989399,8.5,2,"Africa",202,"Sub-Saharan Africa","COM","Developing"
"46","Congo, Dem. Rep.",86.8,2344.9,37,45.3,520,96.2,1110,4.4,1.1,5.5,42.7,473,85,0.31,321,34,70,7.3,31.1,0.5,24.7837791034334,107.592199617113,18.2,95.8,0.4,74.8,45.5,0.1,0.1,13.8,4.4710982094758,8.6,NA,NA,NA,NA,NA,NA
"47","Congo, Rep.",5.4,342,15,9.4,1750,16.5,3060,-0.9,-3.4,4.2,21.2,378,48,2.5,375,27,75.35889110282,5.2,5.7,-3.8,45.4,22.1358059957794,64.7,62.4,-1.3722218914713,46.9,45.7,-39.9,0.7,36.8,7.49170881197857,8.7,NA,NA,NA,NA,NA,NA
"48","Costa Rica",5,51.1,98,59.1,11700,97.2,19250,2.1,1.1,4.3,7.09207259787378,27,9,0.33,10,17,99,1.1,2.8,2.3,93.8,38.805441009887,99.6,38.7,0.4,5.5,15.7,16.6,1.6,3,11.5,71.6,19,"Americas",419,"Latin America and the Caribbean","CRI","Developing"
"49","Cote d'Ivoire",25.7,322.5,79,58.9,2290,136,5290,6.9,4.2,5.7,21.6,617,79,0.8,142,24,75,10.6,15.3,4.4,36.5,-0.271357798115503,65.6,64.5,0.1,56,26.7,21.3,0.5,14.9,19.8804717442136,43.8,NA,NA,NA,NA,NA,NA
"50","Croatia",4.1,56.6,73,60.6,14910,120.1,29520,2.9,3.5,7.4,14.0308283783034,8,5,0.04,8,8,95,0.9,1.7,1.8,90,58.5,100,33.1,0.8,28.6791562512191,17.8,14.2,4,23.6,0.9,67.1,150,"Europe",39,"Southern Europe","HRV","Developed"
"51","Cuba",11.3,109.9,109,-1562.19288991422,18324.7441687935,-2769.49584371912,31113.2567527686,2.2,2.3,7.31221733221477,5.01860824192032,36,5,0.26,7,9,84,2.2,1.9,-0.634085590373362,96.802520255959,44.3,99.9,19.3,0.4,6.6,19.7,-0.414452305597671,2.4,7.2,5.5,57.1,19,"Americas",419,"Latin America and the Caribbean","CUB","Developing"
"52","Curacao",0.2,0.4,361,3.1,19610,4.1,25860,-2.2,-1.9,6.95344454971498,14.340412406256,7.8344291115711,14.9678208257329,0.0191990968193081,6,7.03092443651442,99.2417876573437,-0.22983501069309,-4.59341292810069,-0.387367334362782,57.1427008793659,54.2502135229893,100,0.3,0.870008995664775,4.87052610507962,20.6047657857791,12.8517959890588,37.7,0.3,32.1612652418394,68.1,NA,NA,NA,NA,NA,NA
"53","Cyprus",1.2,9.3,129,24.4,27710,35.1,39830,3.2,1.9,8.4,8.13657087119336,6,2,-0.471638945349629,5,5,102,0.6,0.7,1.3,99.6,75.5,100,9.9,0.5,18.6397740384437,17,7.4,5.3,1.7,1.3,80.7,142,"Asia",145,"Western Asia","CYP","Developed"
"54","Czech Republic",10.7,78.9,138,234.7,22000,433.9,40660,2.6,2.2,10.2,11.4138734020114,3,3,0.689461379670634,5,6,99,0.2,0.9,1.5,97.9,94.5,100,14.8,1.9,4.59222810876224,16.1,10.2,9.2,22.2,0.8,78.7,NA,NA,NA,NA,NA,NA
"55","Denmark",5.8,42.9,138,367.9,63240,357.3,61410,2.4,1.9,9.1,-7.39817004671237,4,4,0.954517766900043,5,4,101,0.3,0.5,1.2,96.7,94.8,100,33.2,3.1,0,10.1,19.1,5.9,17.9,1.1,97.1,150,"Europe",154,"Northern Europe","DNK","Developed"
"56","Djibouti",1,23.2,41,3.4,3540,5.8,5980,7.5,5.9,5.4,33.5,248,58,0.16,260,25,66,5.1,13.2,4.5,18.4014914967118,36.4,60.2,15.4,1.87088107697663,65.6,45.9,17,0.7,1.2,28.9079507459802,55.7,2,"Africa",202,"Sub-Saharan Africa","DJI","Developing"
"57","Dominica",0.1,0.8,96,0.6,8090,0.9,12460,5.7,5.4,8.65726841039815,16.780315557094,213.743426164596,35,-1.94727718605085,6,11,114,-0.954300441254015,5.95342825590129,4.7297087473542,51.7654883057921,70.7632499105736,100,7.8,2.84124519148203,26.7409462376176,20,42.1702372568203,2.5,0.7,12.6,69.6,19,"Americas",419,"Latin America and the Caribbean","DMA","Developing"
"58","Dominican Republic",10.7,48.7,220,86.9,8090,196.3,18280,5.1,4,5.8,7.1,95,28,0.45,45,35,93,1.2,2.7,3.5,96.1392712318234,96.1061579197331,100,16.5,1.89612795902887,12.1,13.7,18.2,2.2,19.2,15.5,67.6,19,"Americas",419,"Latin America and the Caribbean","DOM","Developing"
"59","East Asia & Pacific",2340.6,24827.7,95,27445.5,11726,43119.4,18422,3.8,3.2,2.51482220366803,11,69,14,4.40469658502131,133,17,98,7.3,20.2,4.5,60.9546488277391,63.5,97.9,13.9,2.4,25.8,39.5,15.5,6.2,17.9,1.4,54.9,NA,NA,NA,NA,NA,NA
"60","Ecuador",17.4,256.4,69,105.6,6080,199.9,11500,0.1,-1.6,4.6,23.9,59,14,0.24,44,21,104,6.8,21.1,-2.2,75.1,42,99.2,13.8,0.4,36,15,7.4,2.9,15,6.5,54.1,19,"Americas",419,"Latin America and the Caribbean","ECU","Developing"
"61","Egypt, Arab Rep.",100.4,1001.5,99,270.2,2690,1185.1,11810,5.6,3.5,9,22.3,37,20,0.09,12,10,101,4,25.3,3.2,95.0729957225479,60.7,100,5.7,0.7,10.6,88.1,1.3,2.5,11.6,2.6,45,NA,NA,NA,NA,NA,NA
"62","El Salvador",6.5,21,310,25.8,4000,56.1,8700,2.4,1.9,6.2,13.6,46,13,0.23,70,22,87,5,7.2,1.3,21.0316055272534,-8.31250994034633,96.8,24.4,0.1,28.9,24.7,4.8,1,2.2,105.2,33.8,19,"Americas",419,"Latin America and the Caribbean","SLV","Developing"
"63","Equatorial Guinea",1.4,28.1,47,8.8,6460,19.8,14600,-5.6,-8.8,2.20514870097086,26.2,301,82,6.48,201,25,41,4.8,13.9,-11,88.8076497236863,12.321608699083,66.8,7.8,0.134383644509367,66.2,54.5,-23.5168455355727,6.5,1.8,33.3987019838143,26.2,2,"Africa",202,"Sub-Saharan Africa","GNQ","Developing"
"64","Eritrea",92.4162903564271,117.6,727.970113207601,5483.76858259103,-10932.5365788029,5705.05322149906,-10991.4994379227,5.53118938763922,3.5225724108308,3.26130408213358,32.5208105332145,480,41,0.15,89,25,60,27.3,50.5,2.37651848795954,20.6332142813045,-30.9859882515734,48.3,79.8,-1.53738732956544,67.9601552274903,48.7,17.6647857557569,0.2,3,8.40327719550111,1.3,2,"Africa",202,"Sub-Saharan Africa","ERI","Developing"
"65","Estonia",1.3,45.3,30,30.8,23220,50.4,38010,4.3,4,8.1,2.26023116041991,9,2,1.08280869785988,13,6,97,0.2,0.2,3,93.3,97.4,100,27.5,1.5,6.16682026054274,6.8,15.6,13.8,19.5,3.4,88.1,150,"Europe",154,"Northern Europe","EST","Developed"
"66","Eswatini",1.1,17.4,66,4.1,3590,9.1,7940,2,1,3.7,25.5,437,49,9.77,329,27,94,2.4,2.8,-0.7,159.811740283939,-7.5800325622163,73.5,66.1,0.3,32.7,17.1,7.7,0.8,4.2,10.1,30.3,2,"Africa",202,"Sub-Saharan Africa","SWZ","Developing"
"67","Ethiopia",112.1,1104.3,109,95.1,850,257.8,2300,8.3,5.5,7.3,36.8,401,51,0.23,151,27,54,23,56.7,5,11.4,122.196149810144,44.3,92.2,0.3,73.9,39.2,4.4,0.1,18.5,8.8,18.6,2,"Africa",202,"Sub-Saharan Africa","ETH","Developing"
"68","Europe & Central Asia",921.1,28691,33,23178.8,25163,33674.1,36557,1.5,1.2,-7.55983011659454,-6.12199449624454,13,8,-0.634594114978144,28,9,98,1.7,3.6,1.3,91.8,67.4,100,13.1,1.9,19.126258584947,18,10.5,7,9.4,3.3,74.6,NA,NA,NA,NA,NA,NA
"69","Faroe Islands",0,1.4,35,-1589.05535814794,25896.7612430321,-2257.2746449733,41199.1734817841,-1.66349282037085,-2.07974082104695,10.0333581189714,-1.21618924315977,-195.954743410746,4.18258439926143,-1.54708764317082,-74.0567212501718,5.53160248097674,96.1689866581019,-5.73657089819572,-5.96677103871854,0.394635123291082,85.2688871550151,95.8435148954043,100,7.5,0.478465201571496,22.5813651017131,10.1705963854927,13.8609461025314,12.5,0,7.5463693059644,97.6,150,"Europe",154,"Northern Europe","FRO","Developed"
"70","Fiji",0.9,18.3,48,5.2,5860,11.8,13260,1.1,0.3,7.5,11.5844413765541,34,26,0.26,54,10,107,15,29.3,3.6,61.6934204310142,31.2241339242154,96,31.3,1.0239256524379,10.8,11.1,33.9328846793009,1.9,1,2.3,50,9,"Oceania",54,"Melanesia","FJI","Developing"
"71","Finland",5.5,338.5,18,273.7,49580,282.7,51210,1,0.9,9.4,-0.690029407211934,3,2,1.91472826020153,5,5,100,0.5,0.4,1.1,99.6,99.2,100,43.2,2.9,-6.26118047147541,5.9,10.2,8.6,14.2,1.5,87.5,150,"Europe",154,"Northern Europe","FIN","Developed"
"72","France",67.1,549.1,122,2843,42400,3379.2,50390,1.5,1.4,8.1,6.13045648227165,8,5,0.19,9,6,109.805919270218,0.1,0.5,1,97.9,88.4,100,13.5,2.3,10.8817875503778,11.9,9.2,4.6,33.2,1.6,80.5,150,"Europe",155,"Western Europe","FRA","Developed"
